         #_time (fs)    site                 |m|                 m%x                 m%y                 m%z
      8.90000000E-03       1      1.00000000E+00     -7.23571620E-02      7.92299231E-01      6.05827014E-01
      8.90000000E-03       2      1.00000000E+00      7.23571620E-02     -7.92299231E-01      6.05827014E-01
      9.00000000E-03       1      1.00000000E+00     -8.02333543E-02      7.91298740E-01      6.06142651E-01
      9.00000000E-03       2      1.00000000E+00      8.02333543E-02     -7.91298740E-01      6.06142651E-01
      9.10000000E-03       1      1.00000000E+00     -8.81008896E-02      7.90219343E-01      6.06458262E-01
      9.10000000E-03       2      1.00000000E+00      8.81008896E-02     -7.90219343E-01      6.06458262E-01
      9.20000000E-03       1      1.00000000E+00     -9.59589668E-02      7.89061072E-01      6.06773847E-01
      9.20000000E-03       2      1.00000000E+00      9.59589668E-02     -7.89061072E-01      6.06773847E-01
      9.30000000E-03       1      1.00000000E+00     -1.03806784E-01      7.87823968E-01      6.07089406E-01
      9.30000000E-03       2      1.00000000E+00      1.03806784E-01     -7.87823968E-01      6.07089406E-01
      9.40000000E-03       1      1.00000000E+00     -1.11643538E-01      7.86508082E-01      6.07404937E-01
      9.40000000E-03       2      1.00000000E+00      1.11643538E-01     -7.86508082E-01      6.07404937E-01
      9.50000000E-03       1      1.00000000E+00     -1.19468428E-01      7.85113469E-01      6.07720442E-01
      9.50000000E-03       2      1.00000000E+00      1.19468428E-01     -7.85113469E-01      6.07720442E-01
      9.60000000E-03       1      1.00000000E+00     -1.27280648E-01      7.83640197E-01      6.08035919E-01
      9.60000000E-03       2      1.00000000E+00      1.27280648E-01     -7.83640197E-01      6.08035919E-01
      9.70000000E-03       1      1.00000000E+00     -1.35079397E-01      7.82088339E-01      6.08351368E-01
      9.70000000E-03       2      1.00000000E+00      1.35079397E-01     -7.82088339E-01      6.08351368E-01
      9.80000000E-03       1      1.00000000E+00     -1.42863870E-01      7.80457977E-01      6.08666789E-01
      9.80000000E-03       2      1.00000000E+00      1.42863870E-01     -7.80457977E-01      6.08666789E-01
      9.90000000E-03       1      1.00000000E+00     -1.50633263E-01      7.78749203E-01      6.08982182E-01
      9.90000000E-03       2      1.00000000E+00      1.50633263E-01     -7.78749203E-01      6.08982182E-01
      1.00000000E-02       1      1.00000000E+00     -1.58386773E-01      7.76962116E-01      6.09297546E-01
      1.00000000E-02       2      1.00000000E+00      1.58386773E-01     -7.76962116E-01      6.09297546E-01
      1.01000000E-02       1      1.00000000E+00     -1.66123596E-01      7.75096823E-01      6.09612882E-01
      1.01000000E-02       2      1.00000000E+00      1.66123596E-01     -7.75096823E-01      6.09612882E-01
      1.02000000E-02       1      1.00000000E+00     -1.73842928E-01      7.73153440E-01      6.09928188E-01
      1.02000000E-02       2      1.00000000E+00      1.73842928E-01     -7.73153440E-01      6.09928188E-01
      1.03000000E-02       1      1.00000000E+00     -1.81543966E-01      7.71132091E-01      6.10243465E-01
      1.03000000E-02       2      1.00000000E+00      1.81543966E-01     -7.71132091E-01      6.10243465E-01
      1.04000000E-02       1      1.00000000E+00     -1.89225907E-01      7.69032910E-01      6.10558711E-01
      1.04000000E-02       2      1.00000000E+00      1.89225907E-01     -7.69032910E-01      6.10558711E-01
      1.05000000E-02       1      1.00000000E+00     -1.96887948E-01      7.66856036E-01      6.10873928E-01
      1.05000000E-02       2      1.00000000E+00      1.96887948E-01     -7.66856036E-01      6.10873928E-01
      1.06000000E-02       1      1.00000000E+00     -2.04529287E-01      7.64601620E-01      6.11189114E-01
      1.06000000E-02       2      1.00000000E+00      2.04529287E-01     -7.64601620E-01      6.11189114E-01
      1.07000000E-02       1      1.00000000E+00     -2.12149123E-01      7.62269819E-01      6.11504270E-01
      1.07000000E-02       2      1.00000000E+00      2.12149123E-01     -7.62269819E-01      6.11504270E-01
      1.08000000E-02       1      1.00000000E+00     -2.19746654E-01      7.59860801E-01      6.11819395E-01
      1.08000000E-02       2      1.00000000E+00      2.19746654E-01     -7.59860801E-01      6.11819395E-01
      1.09000000E-02       1      1.00000000E+00     -2.27321082E-01      7.57374739E-01      6.12134488E-01
      1.09000000E-02       2      1.00000000E+00      2.27321082E-01     -7.57374739E-01      6.12134488E-01
      1.10000000E-02       1      1.00000000E+00     -2.34871606E-01      7.54811816E-01      6.12449550E-01
      1.10000000E-02       2      1.00000000E+00      2.34871606E-01     -7.54811816E-01      6.12449550E-01
      1.11000000E-02       1      1.00000000E+00     -2.42397428E-01      7.52172226E-01      6.12764579E-01
      1.11000000E-02       2      1.00000000E+00      2.42397428E-01     -7.52172226E-01      6.12764579E-01
      1.12000000E-02       1      1.00000000E+00     -2.49897752E-01      7.49456167E-01      6.13079577E-01
      1.12000000E-02       2      1.00000000E+00      2.49897752E-01     -7.49456167E-01      6.13079577E-01
      1.13000000E-02       1      1.00000000E+00     -2.57371781E-01      7.46663848E-01      6.13394542E-01
      1.13000000E-02       2      1.00000000E+00      2.57371781E-01     -7.46663848E-01      6.13394542E-01
      1.14000000E-02       1      1.00000000E+00     -2.64818720E-01      7.43795487E-01      6.13709474E-01
      1.14000000E-02       2      1.00000000E+00      2.64818720E-01     -7.43795487E-01      6.13709474E-01
      1.15000000E-02       1      1.00000000E+00     -2.72237776E-01      7.40851309E-01      6.14024374E-01
      1.15000000E-02       2      1.00000000E+00      2.72237776E-01     -7.40851309E-01      6.14024374E-01
      1.16000000E-02       1      1.00000000E+00     -2.79628157E-01      7.37831548E-01      6.14339240E-01
      1.16000000E-02       2      1.00000000E+00      2.79628157E-01     -7.37831548E-01      6.14339240E-01
      1.17000000E-02       1      1.00000000E+00     -2.86989072E-01      7.34736446E-01      6.14654072E-01
      1.17000000E-02       2      1.00000000E+00      2.86989072E-01     -7.34736446E-01      6.14654072E-01
      1.18000000E-02       1      1.00000000E+00     -2.94319732E-01      7.31566254E-01      6.14968870E-01
      1.18000000E-02       2      1.00000000E+00      2.94319732E-01     -7.31566254E-01      6.14968870E-01
      1.19000000E-02       1      1.00000000E+00     -3.01619350E-01      7.28321232E-01      6.15283634E-01
      1.19000000E-02       2      1.00000000E+00      3.01619350E-01     -7.28321232E-01      6.15283634E-01
      1.20000000E-02       1      1.00000000E+00     -3.08887140E-01      7.25001648E-01      6.15598363E-01
      1.20000000E-02       2      1.00000000E+00      3.08887140E-01     -7.25001648E-01      6.15598363E-01
      1.21000000E-02       1      1.00000000E+00     -3.16122319E-01      7.21607778E-01      6.15913058E-01
      1.21000000E-02       2      1.00000000E+00      3.16122319E-01     -7.21607778E-01      6.15913058E-01
      1.22000000E-02       1      1.00000000E+00     -3.23324104E-01      7.18139905E-01      6.16227717E-01
      1.22000000E-02       2      1.00000000E+00      3.23324104E-01     -7.18139905E-01      6.16227717E-01
      1.23000000E-02       1      1.00000000E+00     -3.30491717E-01      7.14598325E-01      6.16542341E-01
      1.23000000E-02       2      1.00000000E+00      3.30491717E-01     -7.14598325E-01      6.16542341E-01
      1.24000000E-02       1      1.00000000E+00     -3.37624380E-01      7.10983338E-01      6.16856930E-01
      1.24000000E-02       2      1.00000000E+00      3.37624380E-01     -7.10983338E-01      6.16856930E-01
      1.25000000E-02       1      1.00000000E+00     -3.44721317E-01      7.07295253E-01      6.17171482E-01
      1.25000000E-02       2      1.00000000E+00      3.44721317E-01     -7.07295253E-01      6.17171482E-01
      1.26000000E-02       1      1.00000000E+00     -3.51781756E-01      7.03534391E-01      6.17485998E-01
      1.26000000E-02       2      1.00000000E+00      3.51781756E-01     -7.03534391E-01      6.17485998E-01
      1.27000000E-02       1      1.00000000E+00     -3.58804926E-01      6.99701076E-01      6.17800477E-01
      1.27000000E-02       2      1.00000000E+00      3.58804926E-01     -6.99701076E-01      6.17800477E-01
      1.28000000E-02       1      1.00000000E+00     -3.65790058E-01      6.95795646E-01      6.18114919E-01
      1.28000000E-02       2      1.00000000E+00      3.65790058E-01     -6.95795646E-01      6.18114919E-01
      1.29000000E-02       1      1.00000000E+00     -3.72736388E-01      6.91818442E-01      6.18429324E-01
      1.29000000E-02       2      1.00000000E+00      3.72736388E-01     -6.91818442E-01      6.18429324E-01
      1.30000000E-02       1      1.00000000E+00     -3.79643153E-01      6.87769817E-01      6.18743691E-01
      1.30000000E-02       2      1.00000000E+00      3.79643153E-01     -6.87769817E-01      6.18743691E-01
      1.31000000E-02       1      1.00000000E+00     -3.86509592E-01      6.83650131E-01      6.19058021E-01
      1.31000000E-02       2      1.00000000E+00      3.86509592E-01     -6.83650131E-01      6.19058021E-01
      1.32000000E-02       1      1.00000000E+00     -3.93334950E-01      6.79459753E-01      6.19372312E-01
      1.32000000E-02       2      1.00000000E+00      3.93334950E-01     -6.79459753E-01      6.19372312E-01
      1.33000000E-02       1      1.00000000E+00     -4.00118471E-01      6.75199060E-01      6.19686565E-01
      1.33000000E-02       2      1.00000000E+00      4.00118471E-01     -6.75199060E-01      6.19686565E-01
      1.34000000E-02       1      1.00000000E+00     -4.06859404E-01      6.70868436E-01      6.20000780E-01
      1.34000000E-02       2      1.00000000E+00      4.06859404E-01     -6.70868436E-01      6.20000780E-01
      1.35000000E-02       1      1.00000000E+00     -4.13557003E-01      6.66468275E-01      6.20314955E-01
      1.35000000E-02       2      1.00000000E+00      4.13557003E-01     -6.66468275E-01      6.20314955E-01
      1.36000000E-02       1      1.00000000E+00     -4.20210522E-01      6.61998979E-01      6.20629091E-01
      1.36000000E-02       2      1.00000000E+00      4.20210522E-01     -6.61998979E-01      6.20629091E-01
      1.37000000E-02       1      1.00000000E+00     -4.26819220E-01      6.57460958E-01      6.20943187E-01
      1.37000000E-02       2      1.00000000E+00      4.26819220E-01     -6.57460958E-01      6.20943187E-01
      1.38000000E-02       1      1.00000000E+00     -4.33382359E-01      6.52854630E-01      6.21257244E-01
      1.38000000E-02       2      1.00000000E+00      4.33382359E-01     -6.52854630E-01      6.21257244E-01
      1.39000000E-02       1      1.00000000E+00     -4.39899205E-01      6.48180421E-01      6.21571260E-01
      1.39000000E-02       2      1.00000000E+00      4.39899205E-01     -6.48180421E-01      6.21571260E-01
      1.40000000E-02       1      1.00000000E+00     -4.46369027E-01      6.43438766E-01      6.21885236E-01
      1.40000000E-02       2      1.00000000E+00      4.46369027E-01     -6.43438766E-01      6.21885236E-01
